,City,Lat,Lng,MaxTemp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tuktoyaktuk,69.45,-133.04,44.6,75.0,40.0,4.7,CA,1595473502.0
1,vaini,-21.2,-175.2,73.4,78.0,75.0,12.75,TO,1595473576.0
2,butaritari,3.07,172.79,83.48,76.0,95.0,14.83,KI,1595473754.0
3,albany,42.6,-73.97,72.0,92.0,100.0,4.16,US,1595473697.0
4,sao filipe,14.9,-24.5,79.14,81.0,38.0,4.7,CV,1595473994.0
5,mataura,-46.19,168.86,39.0,83.0,100.0,3.0,NZ,1595473565.0
6,gamba,-2.65,10.0,69.71,87.0,85.0,2.93,GA,1595473995.0
7,bluff,-46.6,168.33,39.0,83.0,89.0,3.0,NZ,1595473503.0
8,ushuaia,-54.8,-68.3,39.2,55.0,100.0,13.87,AR,1595473558.0
9,lebu,-37.62,-73.65,45.93,81.0,42.0,4.45,CL,1595473566.0
10,provideniya,64.38,-173.3,53.6,76.0,0.0,13.42,RU,1595473581.0
11,lorengau,-2.02,147.27,84.2,75.0,51.0,9.42,PG,1595473628.0
12,cape town,-33.93,18.42,55.0,93.0,0.0,5.82,ZA,1595473514.0
13,hobart,-42.88,147.33,55.0,50.0,20.0,13.87,AU,1595473557.0
14,lufkin,31.34,-94.73,80.6,83.0,1.0,3.36,US,1595473999.0
15,puerto ayora,-0.74,-90.35,68.0,93.0,98.0,4.0,EC,1595473759.0
16,punta arenas,-53.15,-70.92,32.0,100.0,28.0,5.82,CL,1595473684.0
17,mtwango,-9.02,34.8,51.69,80.0,37.0,11.1,TZ,1595473746.0
18,tessalit,20.2,1.01,89.6,28.0,0.0,6.69,ML,1595473818.0
19,rikitea,-23.12,-134.97,66.51,69.0,100.0,17.36,PF,1595473746.0
20,nanortalik,60.14,-45.24,48.4,81.0,100.0,6.06,GL,1595473768.0
21,airai,-8.93,125.41,71.08,42.0,37.0,5.44,TL,1595473744.0
22,jamestown,42.1,-79.24,72.0,94.0,90.0,6.93,US,1595473763.0
23,pangnirtung,66.15,-65.71,52.12,71.0,100.0,4.59,CA,1595474002.0
24,sitka,57.05,-135.33,57.2,82.0,90.0,6.93,US,1595473809.0
25,poitiers,46.58,0.33,57.2,62.0,7.0,3.36,FR,1595474003.0
27,abong mbang,3.98,13.18,65.25,98.0,100.0,2.55,CM,1595474004.0
28,new norfolk,-42.78,147.06,55.0,76.0,98.0,4.0,AU,1595473744.0
29,hermanus,-34.42,19.23,51.01,95.0,0.0,5.14,ZA,1595473757.0
30,praya,14.92,-23.51,78.8,83.0,20.0,3.36,CV,1595473621.0
32,barrow,71.29,-156.79,42.8,81.0,90.0,9.17,US,1595473758.0
33,bredasdorp,-34.53,20.04,57.2,93.0,0.0,1.12,ZA,1595473745.0
34,koulikoro,14.0,-7.75,74.73,84.0,100.0,6.35,ML,1595474007.0
35,saldanha,-33.01,17.94,48.2,87.0,0.0,4.7,ZA,1595473772.0
36,chuy,-33.7,-53.46,63.7,94.0,100.0,6.26,UY,1595473565.0
37,kapaa,22.08,-159.32,82.4,74.0,40.0,11.41,US,1595473503.0
38,tiksi,71.69,128.87,58.15,76.0,46.0,6.89,RU,1595473759.0
39,kota kinabalu,5.97,116.07,87.8,74.0,20.0,4.7,MY,1595474009.0
40,hay river,60.82,-115.8,64.4,93.0,75.0,6.93,CA,1595474010.0
41,galveston,29.37,-94.97,87.01,74.0,1.0,10.29,US,1595474010.0
42,gejiu,23.31,103.16,69.03,81.0,52.0,5.23,CN,1595474010.0
44,kudahuvadhoo,2.67,72.89,83.17,75.0,85.0,15.26,MV,1595474011.0
