,City,Lat,Lng,MaxTemp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.12,-134.97,70.61,80.0,18.0,22.06,PF,1595737281.0
1,mayor pablo lagerenza,-19.93,-60.77,52.77,55.0,98.0,1.48,PY,1595737282.0
2,lagoa,39.05,-27.98,71.37,88.0,0.0,17.67,PT,1595737282.0
3,komsomolskiy,40.43,71.72,84.2,37.0,19.0,9.17,UZ,1595737013.0
4,mahebourg,-20.41,57.7,69.8,68.0,75.0,16.11,MU,1595737283.0
5,albany,42.6,-73.97,73.99,95.0,26.0,4.12,US,1595737201.0
6,nizwa,22.93,57.53,85.87,51.0,82.0,2.26,OM,1595737283.0
8,hithadhoo,-0.6,73.08,83.16,65.0,100.0,4.5,MV,1595737284.0
9,westport,41.14,-73.36,78.8,83.0,1.0,4.7,US,1595737284.0
11,praia,14.92,-23.51,79.59,85.0,98.0,7.67,CV,1595737285.0
12,busselton,-33.65,115.33,63.0,73.0,0.0,3.0,AU,1595737285.0
13,butaritari,3.07,172.79,83.34,77.0,13.0,16.91,KI,1595737285.0
14,port lincoln,-34.73,135.87,59.77,73.0,96.0,9.33,AU,1595737285.0
15,hilo,19.73,-155.09,82.4,69.0,90.0,10.29,US,1595737032.0
16,ushuaia,-54.8,-68.3,30.2,92.0,40.0,5.82,AR,1595737242.0
17,punta arenas,-53.15,-70.92,23.0,85.0,53.0,10.29,CL,1595737161.0
18,amontada,-3.36,-39.83,73.44,81.0,43.0,4.29,BR,1595737287.0
20,vaini,-21.2,-175.2,75.2,64.0,20.0,6.93,TO,1595737287.0
21,bredasdorp,-34.53,20.04,57.2,76.0,85.0,11.41,ZA,1595737287.0
22,aranos,-24.13,19.12,47.44,55.0,0.0,11.03,NA,1595737288.0
23,saint-philippe,-21.36,55.77,68.0,82.0,66.0,25.28,RE,1595737288.0
24,puerto ayora,-0.74,-90.35,68.0,92.0,98.0,9.06,EC,1595737288.0
25,iqaluit,63.75,-68.51,46.4,87.0,40.0,4.7,CA,1595737076.0
26,kodiak,57.79,-152.41,53.6,93.0,90.0,6.93,US,1595737289.0
28,jibuti,11.5,42.5,86.0,58.0,75.0,8.05,DJ,1595737289.0
29,saint-augustin,51.23,-58.65,60.3,90.0,91.0,0.49,CA,1595737290.0
30,lebu,-37.62,-73.65,53.55,96.0,100.0,18.12,CL,1595737290.0
31,kaitangata,-46.28,169.85,54.0,59.0,24.0,13.0,NZ,1595737290.0
32,bati,11.18,40.02,71.67,62.0,100.0,3.76,ET,1595737290.0
33,arraial do cabo,-22.97,-42.03,70.83,83.0,0.0,19.37,BR,1595737291.0
34,airai,-8.93,125.41,72.88,51.0,50.0,5.3,TL,1595737291.0
35,hudson bay,52.85,-102.38,58.28,66.0,24.0,15.05,CA,1595737291.0
36,hami,42.8,93.45,93.06,17.0,0.0,6.55,CN,1595737292.0
37,kapaa,22.08,-159.32,79.0,88.0,90.0,12.75,US,1595737292.0
38,hongjiang,27.11,110.0,93.76,49.0,100.0,9.93,CN,1595737292.0
39,upernavik,72.79,-56.15,44.02,89.0,100.0,21.83,GL,1595737023.0
40,gao,16.64,1.64,89.01,43.0,7.0,2.15,ML,1595737293.0
41,semey,50.41,80.23,64.4,82.0,90.0,22.37,KZ,1595737293.0
42,kalmunai,7.42,81.82,81.9,72.0,100.0,2.95,LK,1595737293.0
43,mezen,65.85,44.24,63.64,80.0,89.0,5.26,RU,1595737294.0
44,khash,28.22,61.22,81.73,54.0,0.0,2.57,IR,1595737294.0
46,dakar,14.69,-17.44,78.8,88.0,40.0,8.05,SN,1595737119.0
47,hermanus,-34.42,19.23,55.99,90.0,57.0,1.01,ZA,1595737295.0
48,kudahuvadhoo,2.67,72.89,82.67,67.0,93.0,3.49,MV,1595737295.0
49,gat,31.61,34.76,75.0,61.0,0.0,0.81,IL,1595737295.0
50,bluff,-46.6,168.33,51.39,77.0,60.0,19.08,NZ,1595737296.0
51,meulaboh,4.14,96.13,85.1,67.0,36.0,0.96,ID,1595737296.0
53,fairbanks,64.84,-147.72,64.4,59.0,90.0,5.82,US,1595737004.0
54,chokurdakh,70.63,147.92,92.41,23.0,11.0,16.26,RU,1595737297.0
55,salekhard,66.53,66.6,63.86,62.0,73.0,9.22,RU,1595737297.0
56,arlit,18.74,7.39,92.5,29.0,62.0,5.28,NE,1595737297.0
57,ariquemes,-9.91,-63.04,75.45,70.0,28.0,4.45,BR,1595737298.0
58,torbay,47.67,-52.73,57.2,93.0,75.0,6.93,CA,1595737037.0
59,huanren,41.26,125.37,89.4,45.0,12.0,1.45,CN,1595737298.0
60,kiunga,-6.12,141.29,80.83,92.0,99.0,3.0,PG,1595737298.0
61,camabatela,-8.19,15.38,53.89,96.0,2.0,2.37,AO,1595737299.0
62,guerrero negro,27.98,-114.06,67.24,81.0,0.0,15.41,MX,1595737118.0
63,camopi,3.17,-52.32,72.3,96.0,72.0,1.72,GF,1595737299.0
64,atuona,-9.8,-139.03,79.77,73.0,1.0,21.03,PF,1595737299.0
65,khatanga,71.97,102.5,40.96,80.0,100.0,12.71,RU,1595737300.0
66,half moon bay,37.46,-122.43,64.0,93.0,90.0,6.93,US,1595737300.0
67,port alfred,-33.59,26.89,60.67,70.0,0.0,17.25,ZA,1595737300.0
68,oksfjord,70.24,22.35,62.6,59.0,100.0,14.99,NO,1595737300.0
70,mutuipe,-13.23,-39.5,64.92,96.0,57.0,3.8,BR,1595737301.0
71,ilulissat,69.22,-51.1,42.8,93.0,100.0,12.75,GL,1595737301.0
72,arona,28.1,-16.68,72.0,73.0,20.0,3.36,ES,1595737302.0
73,ponta do sol,32.67,-17.1,64.99,77.0,0.0,3.96,PT,1595737302.0
74,inhambane,-23.86,35.38,62.6,88.0,20.0,7.99,MZ,1595737015.0
75,ust-kan,50.93,84.76,71.01,53.0,46.0,16.46,RU,1595737302.0
76,okhotsk,59.38,143.3,62.87,63.0,0.0,14.41,RU,1595737303.0
77,geraldton,-28.77,114.6,71.6,60.0,0.0,10.29,AU,1595737303.0
78,port blair,11.67,92.75,85.78,69.0,52.0,5.5,IN,1595737303.0
79,cherskiy,68.75,161.3,87.12,24.0,0.0,13.69,RU,1595737303.0
80,gusinoye ozero,51.11,106.26,69.28,65.0,100.0,3.02,RU,1595737304.0
81,zanzibar,-6.16,39.2,73.4,88.0,20.0,8.05,TZ,1595737304.0
82,beringovskiy,63.05,179.32,63.34,63.0,38.0,5.68,RU,1595737304.0
83,nome,64.5,-165.41,61.0,67.0,20.0,11.41,US,1595737202.0
84,kahului,20.89,-156.47,84.2,62.0,40.0,17.22,US,1595737305.0
85,cape town,-33.93,18.42,57.99,87.0,20.0,2.24,ZA,1595737187.0
86,tubuala,9.52,-79.03,78.01,94.0,40.0,4.7,PA,1595737305.0
87,kavaratti,10.57,72.64,82.4,78.0,20.0,5.82,IN,1595737306.0
88,delmas,-26.15,28.68,37.4,72.0,0.0,2.24,ZA,1595737306.0
89,hobart,-42.88,147.33,57.99,58.0,20.0,5.82,AU,1595737024.0
90,vao,-22.67,167.48,70.5,82.0,33.0,22.06,NC,1595737306.0
93,qaanaaq,77.48,-69.36,40.98,67.0,0.0,1.83,GL,1595737307.0
94,barrow,71.29,-156.79,42.8,81.0,90.0,5.82,US,1595737307.0
96,avarua,-21.21,-159.78,71.6,78.0,100.0,4.7,CK,1595737308.0
97,samarinda,-0.5,117.15,81.36,87.0,95.0,5.64,ID,1595737017.0
98,alyangula,-13.85,136.42,80.6,44.0,51.0,10.29,AU,1595737308.0
99,sao jose do rio pardo,-21.6,-46.89,59.83,67.0,0.0,4.29,BR,1595737309.0
100,salalah,17.02,54.09,80.6,83.0,90.0,5.82,OM,1595737309.0
101,yellowknife,62.46,-114.35,69.8,40.0,20.0,6.93,CA,1595737309.0
102,castro,-24.79,-50.01,53.46,91.0,96.0,4.03,BR,1595737310.0
103,touros,-5.2,-35.46,71.6,88.0,40.0,6.93,BR,1595737310.0
104,zheleznodorozhnyy,55.75,38.0,59.0,87.0,97.0,4.47,RU,1595737310.0
106,sarh,9.14,18.39,77.0,94.0,98.0,2.3,TD,1595737311.0
107,mataura,-46.19,168.86,51.46,74.0,21.0,4.18,NZ,1595737311.0
108,clyde river,70.47,-68.59,37.4,100.0,90.0,3.36,CA,1595737311.0
109,esperance,-33.87,121.9,60.8,63.0,75.0,8.05,AU,1595737311.0
110,pevek,69.7,170.31,50.09,83.0,65.0,2.3,RU,1595737312.0
113,narsaq,60.92,-46.05,44.6,93.0,100.0,3.36,GL,1595737312.0
114,matiguas,12.84,-85.46,71.69,92.0,98.0,1.9,NI,1595737313.0
115,mocuba,-16.84,36.99,57.96,98.0,13.0,3.87,MZ,1595737313.0
116,anchorage,61.22,-149.9,63.0,42.0,90.0,8.05,US,1595737131.0
117,townsville,-19.25,146.8,82.0,57.0,7.0,9.17,AU,1595737113.0
118,magadan,59.57,150.8,59.09,73.0,89.0,10.18,RU,1595737314.0
119,ca mau,9.18,105.15,88.74,62.0,78.0,5.66,VN,1595737224.0
120,tucuman,-26.82,-65.22,44.6,56.0,8.0,11.41,AR,1595737092.0
121,yaan,7.38,8.57,70.72,99.0,100.0,4.9,NG,1595737315.0
122,brae,60.4,-1.35,51.8,100.0,100.0,5.82,GB,1595737266.0
123,beyneu,45.32,55.2,88.39,14.0,37.0,11.83,KZ,1595737315.0
124,baykit,61.67,96.37,71.08,41.0,1.0,3.47,RU,1595737315.0
125,port-gentil,-0.72,8.78,74.64,79.0,32.0,10.36,GA,1595737316.0
126,port elizabeth,-33.92,25.57,59.0,87.0,2.0,19.46,ZA,1595737316.0
127,rocha,-34.48,-54.33,41.27,77.0,18.0,7.36,UY,1595737316.0
128,muyezerskiy,63.93,31.65,55.4,88.0,100.0,8.05,RU,1595737316.0
129,biltine,14.53,20.92,81.9,58.0,17.0,5.44,TD,1595737317.0
130,merauke,-8.47,140.33,81.66,75.0,63.0,18.59,ID,1595737024.0
131,san borja,-14.82,-66.85,59.14,79.0,100.0,1.79,BO,1595737317.0
132,batagay-alyta,67.8,130.41,74.88,27.0,0.0,15.37,RU,1595737318.0
133,olinda,-8.01,-34.86,77.0,78.0,75.0,10.29,BR,1595737318.0
134,aklavik,68.22,-135.01,57.2,76.0,90.0,5.82,CA,1595737318.0
135,calama,-22.47,-68.93,39.2,3.0,0.0,23.04,CL,1595737249.0
136,port shepstone,-30.74,30.45,60.58,32.0,0.0,6.31,ZA,1595737319.0
137,shache,38.42,77.24,93.33,12.0,82.0,1.83,CN,1595737319.0
138,erdenet,49.03,104.08,67.98,66.0,55.0,3.44,MN,1595737319.0
139,muroto,33.28,134.15,75.2,100.0,75.0,5.82,JP,1595737320.0
140,la primavera,5.49,-70.41,73.31,96.0,84.0,2.39,CO,1595737320.0
142,veraval,20.9,70.37,84.22,77.0,96.0,12.3,IN,1595737320.0
143,panama city,8.99,-79.52,78.01,94.0,98.0,1.12,PA,1595737070.0
144,zigong,29.34,104.78,78.37,80.0,100.0,5.84,CN,1595737321.0
145,kovernino,57.13,43.81,58.48,74.0,0.0,4.45,RU,1595737321.0
146,fort nelson,58.81,-122.7,71.6,40.0,20.0,5.82,CA,1595737038.0
147,kuching,1.55,110.33,84.2,79.0,40.0,8.05,MY,1595737102.0
150,yumen,40.28,97.2,85.55,15.0,0.0,0.72,CN,1595737323.0
151,vila velha,-20.33,-40.29,68.0,94.0,75.0,2.24,BR,1595737323.0
154,tommot,58.96,126.29,76.62,41.0,7.0,4.47,RU,1595737324.0
155,dhidhdhoo,6.88,73.1,82.24,73.0,100.0,7.31,MV,1595737324.0
156,east london,-33.02,27.91,62.6,45.0,0.0,8.05,ZA,1595737324.0
157,bethel,41.37,-73.41,75.2,83.0,1.0,4.14,US,1595737324.0
158,henties bay,-22.12,14.28,64.0,37.0,0.0,3.0,NA,1595737325.0
159,tuktoyaktuk,69.45,-133.04,50.0,87.0,90.0,5.82,CA,1595737325.0
160,lumeje,-11.55,20.78,50.49,50.0,6.0,5.3,AO,1595737325.0
161,chuy,-33.7,-53.46,42.1,83.0,1.0,8.12,UY,1595737109.0
162,ahipara,-35.17,173.17,57.09,70.0,50.0,9.19,NZ,1595737326.0
163,new norfolk,-42.78,147.06,57.99,75.0,0.0,2.08,AU,1595737028.0
164,thompson,55.74,-97.86,69.8,73.0,75.0,6.93,CA,1595737326.0
165,muzhi,65.37,64.67,64.76,63.0,51.0,6.51,RU,1595737327.0
166,jumla,29.27,82.18,72.54,55.0,60.0,4.74,NP,1595737327.0
167,birjand,32.87,59.22,84.2,18.0,0.0,8.03,IR,1595737327.0
168,fortuna,40.6,-124.16,55.99,93.0,1.0,5.82,US,1595737327.0
169,hasaki,35.73,140.83,90.0,78.0,75.0,16.11,JP,1595737328.0
170,la libertad,-2.23,-80.9,68.14,86.0,100.0,7.05,EC,1595737328.0
171,zyryanovsk,49.74,84.27,71.42,66.0,17.0,0.92,KZ,1595737328.0
172,ribeira grande,38.52,-28.7,71.6,86.0,10.0,13.87,PT,1595737328.0
173,persianovskiy,47.51,40.11,77.0,31.0,99.0,17.9,RU,1595737329.0
174,bone,51.97,12.14,64.99,73.0,100.0,1.01,DE,1595737329.0
175,provideniya,64.38,-173.3,58.86,61.0,54.0,7.54,RU,1595737329.0
176,tiksi,71.69,128.87,39.34,96.0,100.0,11.92,RU,1595737330.0
178,anadyr,64.75,177.48,71.6,68.0,18.0,6.71,RU,1595737330.0
179,jamestown,42.1,-79.24,66.2,82.0,1.0,3.36,US,1595737090.0
181,georgetown,5.41,100.34,86.0,78.0,20.0,3.36,MY,1595737170.0
182,nyurba,63.28,118.33,67.89,57.0,15.0,12.44,RU,1595737331.0
183,aswan,24.09,32.91,86.49,20.0,19.0,10.42,EG,1595737332.0
184,ocampo,21.65,-101.5,60.28,84.0,100.0,2.13,MX,1595737332.0
185,bengkulu,-3.8,102.27,84.45,67.0,6.0,8.9,ID,1595737332.0
186,abha,18.22,42.51,69.8,68.0,88.0,4.21,SA,1595737332.0
187,ketchikan,55.34,-131.65,57.2,100.0,90.0,23.04,US,1595737333.0
188,bandarbeyla,9.49,50.81,80.44,60.0,99.0,28.83,SO,1595737333.0
190,vardo,70.37,31.11,58.37,66.0,0.0,9.01,NO,1595737333.0
191,dusti,37.35,68.66,91.4,27.0,20.0,6.71,TJ,1595737334.0
192,lorengau,-2.02,147.27,83.64,72.0,100.0,13.31,PG,1595737334.0
193,shingu,33.73,135.98,75.2,94.0,75.0,6.93,JP,1595737334.0
194,chokwe,-24.53,32.98,54.52,92.0,0.0,2.21,MZ,1595737334.0
195,nanortalik,60.14,-45.24,43.09,88.0,96.0,2.44,GL,1595737335.0
196,tasiilaq,65.61,-37.64,42.8,93.0,100.0,6.93,GL,1595737335.0
197,kalabo,-14.97,22.68,47.48,83.0,0.0,5.86,ZM,1595737335.0
198,chumphon,10.33,98.83,87.8,70.0,40.0,6.93,TH,1595737244.0
200,karoi,-16.81,29.69,47.1,90.0,20.0,4.76,ZW,1595737336.0
201,taonan,45.33,122.78,95.9,29.0,0.0,11.72,CN,1595737336.0
202,tura,25.52,90.22,84.9,79.0,43.0,2.55,IN,1595737337.0
203,chumikan,54.72,135.31,50.7,96.0,100.0,5.82,RU,1595737337.0
204,ichinohe,40.21,141.3,68.0,94.0,90.0,10.29,JP,1595737337.0
205,sirjan,29.45,55.68,85.28,23.0,0.0,4.65,IR,1595737337.0
206,talnakh,69.49,88.4,55.4,58.0,0.0,26.84,RU,1595737338.0
207,liverpool,53.41,-2.98,59.0,82.0,34.0,12.75,GB,1595737338.0
208,mamallapuram,12.63,80.17,87.8,70.0,75.0,8.05,IN,1595737338.0
209,atambua,-9.11,124.89,83.23,46.0,82.0,3.29,ID,1595737339.0
210,ramshir,30.89,49.41,95.0,59.0,40.0,4.7,IR,1595737339.0
211,asau,46.43,26.4,60.01,91.0,100.0,1.88,RO,1595737339.0
212,severo-kurilsk,50.68,156.12,53.96,78.0,100.0,13.06,RU,1595737339.0
213,portland,45.52,-122.68,75.0,46.0,1.0,10.29,US,1595737040.0
214,morondava,-20.28,44.28,64.94,56.0,0.0,11.48,MG,1595737340.0
215,suluq,31.67,20.25,69.76,87.0,0.0,4.88,LY,1595737340.0
216,saldanha,-33.01,17.94,55.4,87.0,42.0,2.24,ZA,1595737340.0
217,mar del plata,-38.0,-57.56,46.99,75.0,100.0,23.04,AR,1595737341.0
218,morros,-9.45,-46.3,64.76,44.0,19.0,4.61,BR,1595737341.0
219,bathsheba,13.22,-59.52,82.4,78.0,40.0,16.11,BB,1595737341.0
220,seoul,37.57,126.98,84.2,58.0,90.0,3.36,KR,1595737244.0
221,tigil,57.8,158.67,65.43,56.0,0.0,11.9,RU,1595737342.0
222,hamilton,39.18,-84.53,75.99,88.0,1.0,1.63,US,1595737342.0
223,watsa,3.04,29.54,64.06,100.0,99.0,1.41,CD,1595737342.0
224,viramgam,23.12,72.05,86.0,79.0,40.0,5.82,IN,1595737343.0
225,simbahan,6.3,120.58,83.66,69.0,62.0,1.63,PH,1595737343.0
226,wenling,28.37,121.36,89.01,49.0,95.0,7.65,CN,1595737343.0
227,along,28.17,94.77,83.88,77.0,84.0,2.46,IN,1595737343.0
